ID,SEX,AGE,EDUC,ETHNIC,EMPLOY,MARITAL,SEXN
1003,M,49,8,5,5,2,1
1004,F,51,8,5,2,2,2
1005,F,38,6,5,5,2,2
1007,F,85,5,5,3,2,2
1008,M,39,8,5,1,2,1
1009,F,53,5,5,1,2,2
1010,M,69,8,5,3,2,1
1011,F,68,8,5,3,2,2
1012,F,68,5,5,4,2,2
1013,F,38,6,5,1,2,2
1014,F,67,2,5,4,2,2
1015,M,74,4,5,3,2,1
1016,M,67,4,5,3,2,1
1021,F,47,8,5,1,3,2
1022,F,68,6,5,3,2,2
1023,F,41,6,5,2,2,2
1024,F,61,5,5,2,2,2
1027,F,36,6,5,4,2,2
1028,M,56,5,5,1,2,1
1029,F,42,6,5,1,2,2
1031,M,34,5,5,1,2,1
1035,M,38,6,5,1,2,1
1046,F,32,3,5,2,2,2
1047,F,49,3,5,5,2,2
1048,M,77,3,5,3,2,1
1052,M,47,8,5,1,2,1
1058,M,60,8,5,3,2,1
1060,F,53,8,5,1,3,2
1061,M,63,8,5,3,2,1
1067,M,41,6,5,1,2,1
1071,M,43,7,5,1,2,1
1073,F,45,8,5,6,2,2
1076,M,50,8,5,1,2,1
1078,M,54,6,5,1,2,1
1079,M,64,3,5,3,2,1
1080,M,75,5,5,3,2,1
1082,M,57,8,5,1,2,1
1087,F,57,8,5,1,3,2
1089,M,43,8,5,1,2,1
1092,M,42,8,5,1,2,1
1093,M,71,6,5,3,2,1
1094,M,73,8,5,3,2,1
1095,M,49,5,5,6,2,1
1097,M,65,8,5,3,2,1
1098,M,42,8,5,1,2,1
1099,M,55,8,5,1,2,1
1100,M,40,7,5,1,2,1
1101,M,72,8,5,3,2,1
1105,M,51,8,5,2,2,1
1106,M,65,3,5,3,2,1
1107,F,41,5,5,6,2,2
1108,F,54,5,5,4,2,2
1112,M,68,5,5,6,2,1
1114,M,39,5,5,6,2,1
1115,F,55,5,5,1,2,2
1121,M,74,4,5,3,2,1
1122,M,75,6,5,3,2,1
1123,M,59,8,5,3,2,1
1125,M,67,8,5,3,2,1
1128,M,72,5,5,3,2,1
1129,M,53,8,5,1,2,1
1139,M,74,5,5,3,2,1
1142,M,76,3,5,3,2,1
1147,M,67,8,5,2,2,1
1148,M,67,8,5,3,2,1
1153,M,67,8,5,3,2,1
1155,M,69,6,5,3,2,1
1156,M,41,5,5,6,2,1
1157,F,67,5,5,6,4,2
1161,M,76,8,5,3,2,1
1162,M,38,8,5,6,2,1
1163,M,24,7,5,1,1,1
1164,F,43,5,5,1,2,2
1168,M,65,5,5,3,2,1
1170,M,48,6,5,1,2,1
1172,M,47,6,5,1,2,1
1173,M,52,6,5,1,3,1
1175,F,64,3,5,2,4,2
1180,M,72,6,5,3,2,1
1184,M,61,6,5,1,2,1
1188,M,73,8,5,3,2,1
1192,F,35,6,5,6,2,2
1193,F,79,8,5,3,4,2
1194,M,67,3,5,3,2,1
1195,M,44,8,5,1,2,1
1197,F,49,6,5,2,2,2
1204,M,45,6,5,1,2,1
1206,M,29,7,5,1,2,1
1208,M,57,7,5,1,2,1
1210,M,36,7,5,1,2,1
1213,M,45,5,5,1,2,1
1214,M,63,5,5,3,2,1
1216,M,46,4,5,1,2,1
1218,M,67,8,5,3,2,1
1219,M,57,8,5,1,2,1
1220,M,66,8,5,2,2,1
1222,F,45,6,5,1,2,2
1223,M,78,7,5,3,2,1
1228,F,43,8,5,1,2,2
1230,F,34,8,5,2,2,2
1233,M,43,7,5,1,3,1
1234,F,42,6,5,6,2,2
1238,F,42,5,5,NA,2,2
1241,F,41,8,5,6,3,2
1242,F,50,8,5,5,1,2
1244,M,48,4,5,1,2,1
1245,F,65,3,6,3,2,2
1246,M,45,8,5,1,2,1
1248,F,70,5,5,3,2,2
1253,M,68,5,5,3,2,1
1256,M,38,7,5,2,2,1
1261,M,52,8,5,3,2,1
1262,M,53,7,5,1,2,1
1269,F,51,6,5,5,2,2
1272,M,46,5,5,1,2,1
1273,M,46,8,5,1,2,1
1277,M,48,6,5,1,2,1
1281,M,50,8,5,1,2,1
1282,M,67,6,5,3,2,1
1283,M,60,5,5,1,2,1
