scale,raw_score,standard_score,percentile_rank,ci_90,qualitative_descriptor
positive_expressivity,45,124,95,114-134,Very High
positive_expressivity,44,122,93,112-132,Very High
positive_expressivity,43,119,90,109-129,High Average
positive_expressivity,42,117,87,107-127,High Average
positive_expressivity,41,114,83,104-124,High Average
positive_expressivity,40,112,79,102-122,High Average
positive_expressivity,39,109,74,99-119,Average
positive_expressivity,38,107,68,97-117,Average
positive_expressivity,37,104,62,94-114,Average
positive_expressivity,36,102,55,92-112,Average
positive_expressivity,35,99,49,89-109,Average
positive_expressivity,34,97,42,87-107,Average
positive_expressivity,33,94,36,84-104,Average
positive_expressivity,32,92,30,82-102,Average
positive_expressivity,31,89,24,79-99,Low Average
positive_expressivity,30,87,19,77-97,Low Average
positive_expressivity,29,84,15,74-94,Low Average
positive_expressivity,28,82,11,72-92,Low Average
positive_expressivity,27,79,8,69-89,Very Low
positive_expressivity,26,77,6,67-87,Very Low
positive_expressivity,25,74,4,64-84,Very Low
positive_expressivity,24,72,3,62-82,Very Low
positive_expressivity,23,69,2,59-79,Extremely Low
positive_expressivity,22,67,1,57-77,Extremely Low
positive_expressivity,21,64,1,54-74,Extremely Low
positive_expressivity,20,62,1,52-72,Extremely Low
positive_expressivity,19,59,0.3,49-69,Extremely Low
positive_expressivity,18,57,0.2,47-67,Extremely Low
negative_expressivity,50,144,99.8,132-156,Extremely High
negative_expressivity,49,142,99.7,130-154,Extremely High
negative_expressivity,48,139,99.6,127-151,Extremely High
negative_expressivity,47,137,99,125-149,Extremely High
negative_expressivity,46,134,99,122-146,Extremely High
negative_expressivity,45,132,98,120-144,Extremely High
negative_expressivity,44,130,98,118-142,Extremely High
negative_expressivity,43,127,97,115-139,Very High
negative_expressivity,42,125,95,113-137,Very High
negative_expressivity,41,123,94,111-135,Very High
negative_expressivity,40,120,91,108-132,Very High
negative_expressivity,39,118,89,106-130,High Average
negative_expressivity,38,116,85,104-128,High Average
negative_expressivity,37,113,81,101-125,High Average
negative_expressivity,36,111,77,99-123,High Average
negative_expressivity,35,109,72,97-121,Average
negative_expressivity,34,106,66,94-118,Average
negative_expressivity,33,104,61,92-116,Average
negative_expressivity,32,102,54,90-114,Average
negative_expressivity,31,99,48,87-111,Average
negative_expressivity,30,97,42,85-109,Average
negative_expressivity,29,95,36,83-107,Average
negative_expressivity,28,92,30,80-104,Average
negative_expressivity,27,90,25,78-102,Average
negative_expressivity,26,88,20,76-100,Low Average
negative_expressivity,25,85,16,73-97,Low Average
negative_expressivity,24,83,13,71-95,Low Average
negative_expressivity,23,81,10,69-93,Low Average
negative_expressivity,22,78,7,66-90,Very Low
negative_expressivity,21,76,5,64-88,Very Low
negative_expressivity,20,74,4,62-86,Very Low
negative_expressivity,19,71,3,59-83,Very Low
negative_expressivity,18,69,2,57-81,Extremely Low
negative_expressivity,17,67,1,55-79,Extremely Low
negative_expressivity,16,64,1,52-76,Extremely Low
negative_expressivity,15,62,1,50-74,Extremely Low
negative_expressivity,14,60,0.3,48-72,Extremely Low
negative_expressivity,13,57,0.2,45-69,Extremely Low
negative_expressivity,12,55,0.1,43-67,Extremely Low
attending_to_emotions,50,131,98,121-141,Extremely High
attending_to_emotions,49,129,97,119-139,Very High
attending_to_emotions,48,126,96,116-136,Very High
attending_to_emotions,47,124,95,114-134,Very High
attending_to_emotions,46,122,93,112-132,Very High
attending_to_emotions,45,119,90,109-129,High Average
attending_to_emotions,44,117,87,107-127,High Average
attending_to_emotions,43,115,84,105-125,High Average
attending_to_emotions,42,113,80,103-123,High Average
attending_to_emotions,41,110,75,100-120,High Average
attending_to_emotions,40,108,70,98-118,Average
attending_to_emotions,39,106,65,96-116,Average
attending_to_emotions,38,103,59,93-113,Average
attending_to_emotions,37,101,53,91-111,Average
attending_to_emotions,36,99,47,89-109,Average
attending_to_emotions,35,97,41,87-107,Average
attending_to_emotions,34,94,35,84-104,Average
attending_to_emotions,33,92,30,82-102,Average
attending_to_emotions,32,90,25,80-100,Average
