ID	SEX	AGE	EDUC	ETHNIC	EMPLOY	MARITAL	SEXN
1001	"M"	67	5	5	3	2	1
1002	"F"	64	5	5	3	2	2
1003	"M"	49	8	5	5	2	1
1004	"F"	51	8	5	2	2	2
1005	"F"	38	6	5	5	2	2
1006	"M"	67	3	5	3	2	1
1007	"F"	85	5	5	3	2	2
1008	"M"	39	8	5	1	2	1
1009	"F"	53	5	5	1	2	2
1010	"M"	69	8	5	3	2	1
1011	"F"	68	8	5	3	2	2
1012	"F"	68	5	5	4	2	2
1013	"F"	38	6	5	1	2	2
1014	"F"	67	2	5	4	2	2
1015	"M"	74	4	5	3	2	1
1016	"M"	67	4	5	3	2	1
1018	"M"	55	5	5	6	2	1
1019	"F"	39	6	5	2	2	2
1020	"F"	48	5	5	2	2	2
1021	"F"	47	8	5	1	3	2
1022	"F"	68	6	5	3	2	2
1023	"F"	41	6	5	2	2	2
1024	"F"	61	5	5	2	2	2
1025	"F"	64	4	5	3	4	2
1027	"F"	36	6	5	4	2	2
1028	"M"	56	5	5	1	2	1
1029	"F"	42	6	5	1	2	2
1031	"M"	34	5	5	1	2	1
1034	"F"	80	3	5	2	2	2
1035	"M"	38	6	5	1	2	1
1039	"F"	77	8	5	3	2	2
1044	"F"	49	2	5	5	3	2
1046	"F"	32	3	5	2	2	2
1047	"F"	49	3	5	5	2	2
1048	"M"	77	3	5	3	2	1
1049	"F"	26	5	5	4	2	2
1050	"F"	47	8	5	2	2	2
1051	"M"	42	5	5	1	2	1
1052	"M"	47	8	5	1	2	1
1053	"F"	31	5	5	1	2	2
1056	"M"	30	5	5	1	2	1
1058	"M"	60	8	5	3	2	1
1059	"M"	43	5	5	1	2	1
1060	"F"	53	8	5	1	3	2
1061	"M"	63	8	5	3	2	1
1062	"M"	70	8	5	2	2	1
1063	"M"	60	4	5	1	2	1
1064	"F"	39	6	5	1	2	2
1065	"M"	74	8	5	3	2	1
1066	"F"	61	5	5	4	2	2
1067	"M"	41	6	5	1	2	1
1068	"M"	60	4	5	1	2	1
1069	"F"	42	7	5	1	1	2
1070	"M"	45	4	5	2	2	1
1071	"M"	43	7	5	1	2	1
1072	"F"	37	5	5	2	2	2
1073	"F"	45	8	5	6	2	2
1074	"M"	49	5	5	1	2	1
1075	"M"	42					1
1076	"M"	50	8	5	1	2	1
1077	"M"	33					1
1078	"M"	54	6	5	1	2	1
1079	"M"	64	3	5	3	2	1
1080	"M"	75	5	5	3	2	1
1081	"F"	54					2
1082	"M"	57	8	5	1	2	1
1083	"M"	47					1
1084	"M"	46	5	5	1	2	1
1086	"F"	56	4	5	3	2	2
1087	"F"	57	8	5	1	3	2
1088	"F"	47	4	5	1	2	2
1089	"M"	43	8	5	1	2	1
1090	"F"	26	5	5	1	1	2
1091	"F"	63	7	5	3	2	2
1092	"M"	42	8	5	1	2	1
1093	"M"	71	6	5	3	2	1
1094	"M"	73	8	5	3	2	1
1095	"M"	49	5	5	6	2	1
1096	"M"	39	6	5	1	2	1
1097	"M"	65	8	5	3	2	1
1098	"M"	42	8	5	1	2	1
1099	"M"	55	8	5	1	2	1
1100	"M"	40	7	5	1	2	1
1101	"M"	72	8	5	3	2	1
1102	"M"	34					1
1103	"M"	58	5	5	2	2	1
1104	"F"	60	5	5	1	3	2
1105	"M"	51	8	5	2	2	1
1106	"M"	65	3	5	3	2	1
1107	"F"	41	5	5	6	2	2
1108	"F"	54	5	5	4	2	2
1109	"M"	37	5	5	1	2	1
1110	"F"	52	8	5	1	3	2
1111	"M"	40	8	5	2	2	1
1112	"M"	68	5	5	6	2	1
1113	"F"	40	7	6	2	6	2
1114	"M"	39	5	5	6	2	1
1115	"F"	55	5	5	1	2	2
1116	"M"	48	8	5	1	3	1
1117	"M"	67	7	5	6	2	1
1118	"M"	51	8	2	1	2	1
1119	"M"	36	6	5	1	2	1
1120	"M"	49	8	5	1	4	1
1121	"M"	74	4	5	3	2	1
1122	"M"	75	6	5	3	2	1
1123	"M"	59	8	5	3	2	1
1124	"M"	41					1
1125	"M"	67	8	5	3	2	1
1126	"F"	39	6	5	1	1	2
1127	"M"	64	8	5	3	2	1
1128	"M"	72	5	5	3	2	1
1129	"M"	53	8	5	1	2	1
1130	"M"	37	6	5	1	2	1
1131	"M"	41	4	5	1	2	1
1132	"M"	48					1
1133	"M"	64	4	5	3	2	1
1134	"F"	40	8	5	1	2	2
1135	"M"	47					1
1136	"M"	60	8	5	1	2	1
1137	"M"	77	5	5	3	2	1
1138	"M"	46	6	5	1	2	1
1139	"M"	74	5	5	3	2	1
1141	"M"	71	5	5	3	2	1
1142	"M"	76	3	5	3	2	1
1143	"F"	18	2	5	2	1	2
1144	"F"	45	8	5	2	2	2
1145	"M"	69	3	5	3	2	1
1146	"F"	45	8	5	4	2	2
1147	"M"	67	8	5	2	2	1
1148	"M"	67	8	5	3	2	1
1149	"F"	22	6	5	2	1	2
1150	"F"	33	5	5	1	3	2
1151	"M"	43	8	5	1	2	1
1152	"M"	77	6	5	3	4	1
1153	"M"	67	8	5	3	2	1
1154	"M"	46	6	5	6	2	1
1155	"M"	69	6	5	3	2	1
1156	"M"	41	5	5	6	2	1
1157	"F"	67	5	5	6	4	2
1158	"M"	49	5	5	2	2	1
1159	"M"	54					1
1160	"M"	39					1
1161	"M"	76	8	5	3	2	1
1162	"M"	38	8	5	6	2	1
1163	"M"	24	7	5	1	1	1
1164	"F"	43	5	5	1	2	2
1165	"M"	46	8	5	1	2	1
1166	"M"	62	6	5	1	2	1
